"id","YearOfBirth","US_State","Education","Sex","PoliticalParty","Ideology","Condition","StartDate_T1T2","EndDate_T1T2","Duration_Total_T1T2","StartDate_T3","EndDate_T3","Duration_Total_T3","Duration_Filler_T1T2","Duration_Consensus_T1T2","Duration_Inoculation_T1T2","Duration_Misinfo_T3","AttentionCheck1_T1T2","AttentionCheck2_T3","Belief.T1","HumanCausation.T1","PSC.T1","Worry.T1","SupportForAction.T1","Belief.T2","HumanCausation.T2","PSC.T2","Worry.T2","SupportForAction.T2","Belief.T3","HumanCausation.T3","PSC.T3","Worry.T3","SupportForAction.T3","Complete","Consensus","Misinfo","Inoculation","PSC_Diff_T2T1","PSC_Diff_T3T2","PSC_Diff_T3T1","Belief_Diff_T2T1","Belief_Diff_T3T2","Belief_Diff_T3T1","HumanCausation_Diff_T2T1","HumanCausation_Diff_T3T2","HumanCausation_Diff_T3T1","Worry_Diff_T2T1","Worry_Diff_T3T2","Worry_Diff_T3T1","SupportForAction_Diff_T2T1","SupportForAction_Diff_T3T2","SupportForAction_Diff_T3T1","Education_Category","Age","Age_Category","Ideology_Category"
66,1992,"Pennsylvania","3","Female","Democrat",2,"Control","2019-06-23 17:30:34","2019-06-23 17:33:08",154,"2019-06-30 15:50:47","2019-06-30 15:51:34",47,16.485,NA,NA,NA,"blue","magenta",7,6,98,7,7,7,6,98,7,7,7,6,98,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",27,"18-29","Liberal"
67,1965,"California","2","Female","Republican",7,"Balanced","2019-06-23 17:57:57","2019-06-23 18:00:20",143,"2019-06-30 18:05:39","2019-06-30 18:07:59",139,NA,6.274,NA,61.243,"blue","magenta",6,5,100,1,4,5,6,97,1,5,4,4,97,1,4,1,1,1,0,-3,0,-3,-1,-1,-2,1,-2,-1,0,0,0,1,-1,0,"High school graduate",54,"50+","Conservative"
68,1967,"Michigan","4","Male","Democrat",2,"Control","2019-06-23 17:45:37","2019-06-23 17:48:41",184,"2019-06-30 14:19:43","2019-06-30 14:20:57",74,21.033,NA,NA,NA,"blue","magenta",7,6,99,5,6,7,6,99,5,6,7,7,99,6,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,"Undergraduate degree",52,"50+","Liberal"
69,1989,"California","3","Male","Independent",4,"Control","2019-06-23 17:48:18","2019-06-23 17:50:18",120,NA,NA,NA,12.735,NA,NA,NA,"blue",NA,7,7,100,5,7,7,7,100,5,7,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Some college",30,"30-49","Moderate"
70,1997,"Michigan","3","Male","Independent",3,"Consensus","2019-06-23 17:43:05","2019-06-23 17:46:51",225,"2019-06-30 17:00:19","2019-06-30 17:02:07",107,NA,6.562,NA,NA,"blue","magenta",7,7,97,5,6,7,7,97,5,6,7,7,97,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,"Some college",22,"18-29","Liberal"
71,1971,"Massachusetts","5","Male","Democrat",1,"Control","2019-06-23 18:01:38","2019-06-23 18:03:31",112,"2019-06-30 12:46:29","2019-06-30 12:47:32",62,16.555,NA,NA,NA,"blue","magenta",7,7,99,7,7,7,7,99,7,7,7,7,99,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Graduate degree",48,"30-49","Liberal"
72,1974,"Pennsylvania","4","Female","Republican",5,"Control","2019-06-23 17:47:10","2019-06-23 17:50:12",181,"2019-06-30 14:28:32","2019-06-30 14:29:21",48,21.838,NA,NA,NA,"blue","magenta",6,5,55,5,7,5,5,64,5,7,5,5,70,5,6,1,0,0,0,9,6,15,-1,0,-1,0,0,0,0,0,0,0,-1,-1,"Undergraduate degree",45,"30-49","Conservative"
73,1956,"Pennsylvania","4","Female","Democrat",1,"Control","2019-06-23 17:48:19","2019-06-23 17:54:08",348,"2019-06-30 15:24:28","2019-06-30 15:27:09",161,31.768,NA,NA,NA,"blue","magenta",7,7,95,7,7,7,7,95,7,7,7,6,93,7,7,1,0,0,0,0,-2,-2,0,0,0,0,-1,-1,0,0,0,0,0,0,"Undergraduate degree",63,"50+","Liberal"
74,1986,"New York","4","Female","Other",2,"Inoculation","2019-06-23 17:20:22","2019-06-23 17:24:35",253,"2019-06-30 14:22:04","2019-06-30 14:24:24",140,NA,NA,49.571,36.337,"blue","magenta",7,6,84,7,7,7,6,97,7,7,7,6,94,7,7,1,1,1,1,13,-3,10,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",33,"30-49","Liberal"
75,1984,"Minnesota","3","Male","Democrat",3,"Balanced","2019-06-23 16:39:50","2019-06-23 16:44:30",280,"2019-07-01 05:48:41","2019-07-01 05:51:18",157,NA,8.901,NA,51.073,"blue","magenta",7,5,80,5,5,7,5,97,6,6,6,5,97,5,5,1,1,1,0,17,0,17,0,-1,-1,0,0,0,1,-1,0,1,-1,0,"Some college",35,"30-49","Liberal"
76,1978,"South Carolina","4","Female","Independent",4,"Consensus","2019-06-23 17:14:08","2019-06-23 17:21:30",441,NA,NA,NA,NA,7.582,NA,NA,"blue",NA,6,6,91,6,7,6,6,91,6,7,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Undergraduate degree",41,"30-49","Moderate"
77,1965,"Ohio","3","Male","Other",2,"Control","2019-06-23 18:02:24","2019-06-23 18:06:05",221,NA,NA,NA,23.946,NA,NA,NA,"blue",NA,6,4,25,1,3,6,4,25,2,3,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,"Some college",54,"50+","Liberal"
78,1963,"Washington","3","Male","Independent",6,"Consensus","2019-06-23 18:02:53","2019-06-23 18:06:01",188,"2019-06-30 12:29:38","2019-06-30 12:31:03",85,NA,6.637,NA,NA,"blue","magenta",5,5,95,4,5,6,5,97,4,5,6,5,97,3,5,1,1,0,0,2,0,2,1,0,1,0,0,0,0,-1,-1,0,0,0,"Some college",56,"50+","Conservative"
79,1976,"Louisiana","4","Male","Democrat",2,"Consensus","2019-06-23 17:25:45","2019-06-23 17:29:37",231,"2019-06-30 15:59:04","2019-06-30 16:00:31",87,NA,6.413,NA,NA,"blue","magenta",5,3,85,1,2,5,3,97,1,5,5,5,67,1,4,1,1,0,0,12,-30,-18,0,0,0,0,2,2,0,0,0,3,-1,2,"Undergraduate degree",43,"30-49","Liberal"
80,1978,"Texas","2","Male","Independent",3,"Inoculation","2019-06-23 17:52:21","2019-06-23 17:57:05",283,"2019-06-30 18:55:54","2019-06-30 18:57:26",92,NA,NA,74.459,26.954,"blue","magenta",5,5,90,5,5,5,5,97,5,5,5,5,97,5,5,1,1,1,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"High school graduate",41,"30-49","Liberal"
81,1997,"California","3","Female","Other",2,"Inoculation","2019-06-23 17:44:30","2019-06-23 17:48:00",210,"2019-06-30 23:44:56","2019-06-30 23:46:53",116,NA,NA,53.993,37.176,"blue","magenta",7,7,80,7,7,7,7,97,7,7,7,7,97,7,7,1,1,1,1,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",22,"18-29","Liberal"
82,1985,"Kentucky","4","Female","Democrat",2,"Balanced","2019-06-23 19:15:25","2019-06-23 19:17:04",98,NA,NA,NA,NA,5.722,NA,NA,"blue",NA,7,7,99,6,5,7,7,97,6,5,NA,NA,NA,NA,NA,0,1,0,0,-2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Undergraduate degree",34,"30-49","Liberal"
83,1956,"Maryland","2","Female","Independent",5,"Consensus","2019-06-23 17:25:02","2019-06-23 17:30:39",336,"2019-07-02 02:23:25","2019-07-02 02:25:55",149,NA,15.017,NA,NA,"blue","magenta",6,6,81,5,7,7,7,97,6,7,7,7,100,5,7,1,1,0,0,16,3,19,1,0,1,1,0,1,1,-1,0,0,0,0,"High school graduate",63,"50+","Conservative"
84,1969,"Wisconsin","4","Female","Democrat",1,"Inoculation","2019-06-23 17:26:21","2019-06-23 17:31:50",328,"2019-06-30 16:01:46","2019-06-30 16:03:28",101,NA,NA,115.341,27.57,"blue","magenta",7,7,99,7,7,7,7,100,7,7,7,7,99,7,7,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",50,"50+","Liberal"
85,1998,"North Carolina","3","Female","Democrat",1,"Control","2019-06-23 16:32:51","2019-06-23 16:36:02",191,"2019-06-30 17:30:49","2019-06-30 17:32:20",90,18.474,NA,NA,NA,"blue","magenta",7,6,95,7,7,7,6,95,7,7,7,6,97,7,7,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",21,"18-29","Liberal"
86,1982,"Minnesota","4","Male","Other",3,"Control","2019-06-23 17:31:33","2019-06-23 17:36:27",294,"2019-06-30 16:24:54","2019-06-30 16:26:21",86,18.8,NA,NA,NA,"blue","magenta",7,6,95,6,7,7,6,95,6,7,7,7,98,7,7,1,0,0,0,0,3,3,0,0,0,0,1,1,0,1,1,0,0,0,"Undergraduate degree",37,"30-49","Liberal"
87,1998,"Indiana","3","Male","Independent",3,"Control","2019-06-23 17:51:18","2019-06-23 17:55:04",225,"2019-06-30 14:35:29","2019-06-30 14:37:29",120,12.434,NA,NA,NA,"blue","magenta",7,6,50,5,6,7,6,50,5,6,7,6,30,5,5,1,0,0,0,0,-20,-20,0,0,0,0,0,0,0,0,0,0,-1,-1,"Some college",21,"18-29","Liberal"
88,1981,"Tennessee","3","Female","Democrat",1,"Control","2019-06-23 18:01:12","2019-06-23 18:04:09",176,NA,NA,NA,20.147,NA,NA,NA,"blue",NA,7,7,100,5,7,7,7,100,5,7,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Some college",38,"30-49","Liberal"
89,1975,"Arizona","2","Female","Other",4,"Inoculation","2019-06-23 17:39:09","2019-06-23 17:43:17",248,"2019-06-30 17:12:33","2019-06-30 17:14:43",130,NA,NA,76.264,46.224,"blue","magenta",5,3,62,5,5,6,3,95,5,5,5,3,38,3,4,1,1,1,1,33,-57,-24,1,-1,0,0,0,0,0,-2,-2,0,-1,-1,"High school graduate",44,"30-49","Moderate"
90,1964,"New Jersey","5","Female","Republican",4,"Control","2019-06-23 17:43:40","2019-06-23 17:47:23",223,"2019-07-01 12:13:48","2019-07-01 12:16:51",183,24.463,NA,NA,NA,"blue","magenta",6,5,81,6,6,6,6,81,6,6,6,6,80,6,6,1,0,0,0,0,-1,-1,0,0,0,1,0,1,0,0,0,0,0,0,"Graduate degree",55,"50+","Moderate"
91,1980,"New York","5","Male","Republican",5,"Control","2019-06-23 17:57:36","2019-06-23 18:03:58",381,"2019-06-30 13:48:35","2019-06-30 13:49:51",76,15.278,NA,NA,NA,"blue","magenta",6,5,80,6,6,6,6,80,6,6,6,6,90,6,6,1,0,0,0,0,10,10,0,0,0,1,0,1,0,0,0,0,0,0,"Graduate degree",39,"30-49","Conservative"
92,1970,"Georgia","5","Female","Independent",2,"Consensus","2019-06-23 17:18:42","2019-06-23 17:21:41",178,"2019-07-01 13:09:14","2019-07-01 13:12:10",176,NA,9.415,NA,NA,"blue","magenta",7,7,100,7,7,7,7,97,7,7,7,6,97,7,7,1,1,0,0,-3,0,-3,0,0,0,0,-1,-1,0,0,0,0,0,0,"Graduate degree",49,"30-49","Liberal"
93,1984,"Wisconsin","4","Female","Democrat",1,"Inoculation","2019-06-23 17:30:09","2019-06-23 17:32:43",154,"2019-06-30 16:04:37","2019-06-30 16:07:02",145,NA,NA,44.555,34.869,"blue","magenta",7,7,100,6,7,7,7,97,6,7,7,7,97,6,7,1,1,1,1,-3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",35,"30-49","Liberal"
94,1971,"Texas","3","Female","Democrat",1,"Consensus","2019-06-23 18:01:15","2019-06-23 18:11:29",613,"2019-06-30 13:01:25","2019-06-30 13:04:40",194,NA,161.565,NA,NA,"blue","magenta",7,6,97,5,6,7,6,97,5,6,7,6,98,5,6,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",48,"30-49","Liberal"
95,1967,"North Carolina","2","Female","Independent",4,"Consensus","2019-06-23 17:41:24","2019-06-23 17:45:44",260,"2019-06-30 14:16:28","2019-06-30 14:19:08",159,NA,8.034,NA,NA,"blue","magenta",7,6,59,7,7,7,7,97,7,7,7,7,83,7,7,1,1,0,0,38,-14,24,0,0,0,1,0,1,0,0,0,0,0,0,"High school graduate",52,"50+","Moderate"
96,1998,"California","4","Female","Democrat",1,"Control","2019-06-23 17:35:33","2019-06-23 17:39:01",208,"2019-06-30 18:01:41","2019-06-30 18:03:03",82,15.079,NA,NA,NA,"blue","magenta",7,7,90,7,7,7,7,95,7,7,7,7,95,7,7,1,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",21,"18-29","Liberal"
97,1996,"Missouri","2","Female","Independent",3,"Consensus","2019-06-23 17:01:22","2019-06-23 17:04:47",205,"2019-06-30 15:28:28","2019-06-30 15:30:53",145,NA,7.256,NA,NA,"blue","magenta",7,7,100,6,7,7,7,97,6,7,7,7,97,7,7,1,1,0,0,-3,0,-3,0,0,0,0,0,0,0,1,1,0,0,0,"High school graduate",23,"18-29","Liberal"
98,2000,"Pennsylvania","2","Female","Democrat",3,"Inoculation","2019-06-23 16:37:27","2019-06-23 16:39:54",147,"2019-06-30 15:37:13","2019-06-30 15:38:35",82,NA,NA,33.731,29.689,"blue","magenta",6,5,80,5,5,6,6,97,6,7,7,6,98,5,7,1,1,1,1,17,1,18,0,1,1,1,0,1,1,-1,0,2,0,2,"High school graduate",19,"18-29","Liberal"
99,1954,"Florida","3","Male","Republican",6,"Inoculation","2019-06-23 17:18:03","2019-06-23 17:22:17",254,"2019-06-30 13:22:19","2019-06-30 13:24:14",114,NA,NA,76.225,31.78,"blue","magenta",2,1,71,2,4,2,2,70,2,4,2,2,74,2,4,1,1,1,1,-1,4,3,0,0,0,1,0,1,0,0,0,0,0,0,"Some college",65,"50+","Conservative"
100,1980,"Texas","4","Male","Democrat",3,"Inoculation","2019-06-23 17:41:05","2019-06-23 17:42:51",106,"2019-06-30 15:07:32","2019-06-30 15:08:51",79,NA,NA,22.088,29.611,"blue","magenta",7,6,84,6,7,6,6,82,7,7,6,6,97,6,6,1,1,1,1,-2,15,13,-1,0,-1,0,0,0,1,-1,0,0,-1,-1,"Undergraduate degree",39,"30-49","Liberal"
101,1985,"California","3","Male","Other",7,"Control","2019-06-23 17:23:18","2019-06-23 17:28:47",328,"2019-06-30 15:59:29","2019-06-30 16:01:01",92,27.809,NA,NA,NA,"blue","magenta",7,4,85,1,4,7,4,85,1,4,6,3,85,2,4,1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,1,1,0,0,0,"Some college",34,"30-49","Conservative"
102,1982,"Pennsylvania","3","Male","Other",1,"Consensus","2019-06-23 17:06:55","2019-06-23 17:09:37",161,NA,NA,NA,NA,6.657,NA,NA,"blue",NA,7,7,100,7,7,7,7,97,7,7,NA,NA,NA,NA,NA,0,1,0,0,-3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Some college",37,"30-49","Liberal"
103,1990,"Texas","4","Male","Republican",7,"Consensus","2019-06-23 17:14:42","2019-06-23 17:17:24",161,"2019-06-30 17:37:57","2019-06-30 17:39:05",67,NA,6.036,NA,NA,"blue","magenta",2,2,97,1,1,2,2,97,1,2,2,1,97,1,4,1,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,2,3,"Undergraduate degree",29,"18-29","Conservative"
104,1997,"New Jersey","3","Female","Democrat",1,"Inoculation","2019-06-23 17:53:09","2019-06-23 17:56:19",189,"2019-07-01 11:38:08","2019-07-01 11:39:41",93,NA,NA,54.299,27.456,"blue","magenta",7,6,95,7,7,7,6,95,7,7,7,6,30,7,7,1,1,1,1,0,-65,-65,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",22,"18-29","Liberal"
105,2000,"Rhode Island","3","Male","Democrat",3,"Balanced","2019-06-23 17:22:00","2019-06-23 17:24:59",179,"2019-06-30 16:17:26","2019-06-30 16:19:41",135,NA,7.329,NA,33.034,"blue","magenta",7,6,99,5,7,7,6,98,5,7,7,6,97,5,7,1,1,1,0,-1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",19,"18-29","Liberal"
106,1959,"Washington","4","Female","Republican",5,"Balanced","2019-06-23 17:07:25","2019-06-23 17:10:49",204,"2019-06-30 15:28:52","2019-06-30 15:31:56",183,NA,8.955,NA,40.195,"blue","magenta",7,6,83,6,7,7,6,97,6,6,7,6,97,7,7,1,1,1,0,14,0,14,0,0,0,0,0,0,0,1,1,-1,1,0,"Undergraduate degree",60,"50+","Conservative"
107,1988,"Florida","3","Female","Other",2,"Control","2019-06-23 17:15:10","2019-06-23 17:19:27",256,"2019-06-30 16:00:30","2019-06-30 16:01:29",58,14.102,NA,NA,NA,"blue","magenta",7,5,50,6,6,7,5,52,6,6,6,5,66,5,5,1,0,0,0,2,14,16,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,"Some college",31,"30-49","Liberal"
108,1986,"Florida","5","Male","Independent",4,"Consensus","2019-06-23 17:56:49","2019-06-23 18:03:15",385,"2019-06-30 14:51:34","2019-06-30 14:54:56",202,NA,8.852,NA,NA,"blue","magenta",6,6,100,5,5,5,6,97,5,5,6,6,99,5,5,1,1,0,0,-3,2,-1,-1,1,0,0,0,0,0,0,0,0,0,0,"Graduate degree",33,"30-49","Moderate"
109,1985,"California","5","Male","Democrat",3,"Control","2019-06-23 17:09:29","2019-06-23 17:13:04",214,"2019-06-30 18:38:19","2019-06-30 18:40:30",131,22.843,NA,NA,NA,"blue","magenta",5,5,99,5,7,6,5,94,5,6,5,6,92,5,6,1,0,0,0,-5,-2,-7,1,-1,0,0,1,1,0,0,0,-1,0,-1,"Graduate degree",34,"30-49","Liberal"
110,1983,"Florida","4","Male","Independent",4,"Control","2019-06-23 17:40:26","2019-06-23 17:41:50",83,"2019-07-01 02:01:40","2019-07-01 02:02:11",31,11.956,NA,NA,NA,"blue","magenta",5,3,97,2,5,5,3,95,2,5,6,3,95,2,5,1,0,0,0,-2,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,"Undergraduate degree",36,"30-49","Moderate"
111,1993,"Virginia","4","Female","Other",1,"Inoculation","2019-06-23 18:01:53","2019-06-23 18:03:27",94,"2019-06-30 23:46:06","2019-06-30 23:47:10",64,NA,NA,21.538,26.409,"blue","magenta",7,7,95,7,7,7,7,97,7,7,7,7,97,7,7,1,1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",26,"18-29","Liberal"
112,1980,"Georgia","4","Female","Democrat",3,"Control","2019-06-23 16:35:35","2019-06-23 16:38:23",168,"2019-07-01 19:50:38","2019-07-01 19:52:31",113,17.49,NA,NA,NA,"blue","magenta",5,5,38,5,6,5,5,36,5,6,6,5,66,5,5,1,0,0,0,-2,30,28,0,1,1,0,0,0,0,0,0,0,-1,-1,"Undergraduate degree",39,"30-49","Liberal"
113,1976,"Kentucky","3","Female","Democrat",1,"Control","2019-06-23 17:43:18","2019-06-23 17:50:19",420,"2019-06-30 14:49:42","2019-06-30 14:52:12",150,48.168,NA,NA,NA,"blue","magenta",7,7,90,7,7,7,7,100,7,7,7,7,90,7,7,1,0,0,0,10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",43,"30-49","Liberal"
114,1990,"Washington","4","Female","Other",3,"Consensus","2019-06-23 17:40:39","2019-06-23 17:44:12",213,"2019-06-30 23:51:02","2019-06-30 23:52:56",114,NA,6.268,NA,NA,"blue","magenta",6,5,93,5,6,6,5,95,5,6,7,6,95,5,6,1,1,0,0,2,0,2,0,1,1,0,1,1,0,0,0,0,0,0,"Undergraduate degree",29,"18-29","Liberal"
115,1982,"New York","2","Male","Democrat",4,"Balanced","2019-06-23 17:47:51","2019-06-23 17:52:28",276,"2019-06-30 19:53:12","2019-06-30 19:55:39",146,NA,10.816,NA,32.415,"blue","magenta",7,4,54,6,3,7,5,97,6,6,6,6,30,6,5,1,1,1,0,43,-67,-24,0,-1,-1,1,1,2,0,0,0,3,-1,2,"High school graduate",37,"30-49","Moderate"
116,1980,"Florida","5","Male","Democrat",3,"Balanced","2019-06-23 18:00:54","2019-06-23 18:02:27",92,"2019-06-30 20:17:27","2019-06-30 20:19:05",97,NA,5.958,NA,34.71,"blue","magenta",7,6,82,6,7,6,6,97,7,7,6,6,97,7,7,1,1,1,0,15,0,15,-1,0,-1,0,0,0,1,0,1,0,0,0,"Graduate degree",39,"30-49","Liberal"
117,1986,"Michigan","3","Male","Democrat",1,"Inoculation","2019-06-23 17:42:47","2019-06-23 17:47:36",289,NA,NA,NA,NA,NA,86.651,NA,"blue",NA,7,7,97,7,7,7,7,97,7,7,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Some college",33,"30-49","Liberal"
118,1997,"Tennessee","4","Female","Democrat",1,"Consensus","2019-06-23 18:00:18","2019-06-23 18:03:03",165,"2019-06-30 14:29:11","2019-06-30 14:30:31",80,NA,6.382,NA,NA,"blue","magenta",7,6,99,6,7,7,6,97,7,7,7,6,99,6,6,1,1,0,0,-2,2,0,0,0,0,0,0,0,1,-1,0,0,-1,-1,"Undergraduate degree",22,"18-29","Liberal"
119,1984,"Iowa","4","Female","Independent",5,"Consensus","2019-06-23 18:04:49","2019-06-23 18:08:27",217,"2019-06-30 13:34:54","2019-06-30 13:38:18",204,NA,8.843,NA,NA,"blue","magenta",5,6,44,5,5,6,7,97,5,6,5,4,93,5,6,1,1,0,0,53,-4,49,1,-1,0,1,-3,-2,0,0,0,1,0,1,"Undergraduate degree",35,"30-49","Conservative"
120,1986,"California","5","Male","Democrat",2,"Inoculation","2019-06-23 17:44:24","2019-06-23 17:49:32",308,"2019-06-30 19:25:52","2019-06-30 19:28:50",178,NA,NA,92.65,72.103,"blue","magenta",6,6,88,5,6,6,7,97,6,6,6,6,97,5,6,1,1,1,1,9,0,9,0,0,0,1,-1,0,1,-1,0,0,0,0,"Graduate degree",33,"30-49","Liberal"
121,1983,"North Carolina","3","Female","Democrat",2,"Inoculation","2019-06-23 17:04:12","2019-06-23 17:07:31",199,"2019-06-30 15:54:19","2019-06-30 15:55:51",92,NA,NA,68.619,28.763,"blue","magenta",7,6,96,6,7,7,6,97,6,7,7,6,95,6,7,1,1,1,1,1,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,"Some college",36,"30-49","Liberal"
122,1973,"Georgia","5","Male","Democrat",1,"Consensus","2019-06-23 17:43:45","2019-06-23 17:46:25",159,"2019-06-30 12:51:05","2019-06-30 12:52:27",82,NA,6.148,NA,NA,"blue","magenta",7,7,99,7,7,7,7,99,7,7,7,7,99,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Graduate degree",46,"30-49","Liberal"
123,1981,"Alabama","2","Female","Democrat",4,"Inoculation","2019-06-23 17:45:40","2019-06-23 17:52:15",394,NA,NA,NA,NA,NA,99.902,NA,"blue",NA,7,4,72,4,7,7,6,97,6,7,NA,NA,NA,NA,NA,0,1,0,1,25,NA,NA,0,NA,NA,2,NA,NA,2,NA,NA,0,NA,NA,"High school graduate",38,"30-49","Moderate"
124,1969,"Maryland","4","Female","Democrat",1,"Balanced","2019-06-23 17:09:56","2019-06-23 17:12:04",128,"2019-07-01 15:14:05","2019-07-01 15:15:28",82,NA,9.619,NA,27.038,"blue","magenta",7,5,90,7,6,7,5,97,6,7,7,4,2,6,6,1,1,1,0,7,-95,-88,0,0,0,0,-1,-1,-1,0,-1,1,-1,0,"Undergraduate degree",50,"50+","Liberal"
125,1986,"Massachusetts","5","Male","Independent",4,"Consensus","2019-06-23 17:10:54","2019-06-23 17:12:37",103,"2019-06-30 13:55:34","2019-06-30 13:57:22",107,NA,6.031,NA,NA,"blue","magenta",4,4,81,2,4,4,4,97,2,4,5,5,98,3,4,1,1,0,0,16,1,17,0,1,1,0,1,1,0,1,1,0,0,0,"Graduate degree",33,"30-49","Moderate"
126,1976,"District of Columbia","5","Male","Independent",3,"Balanced","2019-06-23 17:02:05","2019-06-23 17:04:07",122,"2019-07-01 04:06:47","2019-07-01 04:08:13",85,NA,6.963,NA,35.029,"blue","magenta",6,5,95,4,5,6,5,97,5,5,6,6,97,5,4,1,1,1,0,2,0,2,0,0,0,0,1,1,1,0,1,0,-1,-1,"Graduate degree",43,"30-49","Liberal"
127,1988,"New York","5","Male","Democrat",2,"Consensus","2019-06-23 17:36:50","2019-06-23 17:38:38",108,NA,NA,NA,NA,5.782,NA,NA,"blue",NA,7,7,95,6,6,7,7,98,6,6,NA,NA,NA,NA,NA,0,1,0,0,3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,"Graduate degree",31,"30-49","Liberal"
128,1980,"Michigan","5","Male","Independent",1,"Balanced","2019-06-23 17:41:20","2019-06-23 17:43:05",104,"2019-06-30 13:25:38","2019-06-30 13:27:18",99,NA,6.166,NA,36.934,"blue","magenta",7,6,97,6,6,7,6,97,6,7,6,6,97,7,7,1,1,1,0,0,0,0,0,-1,-1,0,0,0,0,1,1,1,0,1,"Graduate degree",39,"30-49","Liberal"
129,1958,"Oregon","4","Female","Independent",2,"Control","2019-06-23 16:55:23","2019-06-23 17:02:02",399,"2019-06-30 15:19:50","2019-06-30 15:24:29",278,29.11,NA,NA,NA,"blue","magenta",1,1,83,1,1,1,1,82,1,1,1,1,73,1,1,1,0,0,0,-1,-9,-10,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",61,"50+","Liberal"
130,1994,"Missouri","4","Male","Democrat",2,"Balanced","2019-06-23 17:51:20","2019-06-23 17:53:37",137,"2019-07-01 03:04:41","2019-07-01 03:06:16",95,NA,7.696,NA,26.87,"blue","magenta",7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undergraduate degree",25,"18-29","Liberal"
131,1988,"New Mexico","3","Male","Independent",2,"Inoculation","2019-06-23 17:35:14","2019-06-23 17:40:20",305,"2019-06-30 14:37:35","2019-06-30 14:41:45",249,NA,NA,76.824,81.231,"blue","magenta",7,6,95,4,6,7,6,97,4,6,6,6,97,4,6,1,1,1,1,2,0,2,0,-1,-1,0,0,0,0,0,0,0,0,0,"Some college",31,"30-49","Liberal"
132,1986,"North Carolina","3","Male","Democrat",2,"Consensus","2019-06-23 16:35:35","2019-06-23 16:40:51",315,"2019-06-30 12:19:51","2019-06-30 12:20:51",59,NA,7.18,NA,NA,"blue","magenta",7,6,99,7,7,7,7,97,7,7,7,6,93,6,7,1,1,0,0,-2,-4,-6,0,0,0,1,-1,0,0,-1,-1,0,0,0,"Some college",33,"30-49","Liberal"
133,1992,"Illinois","5","Female","Democrat",2,"Inoculation","2019-06-23 17:38:09","2019-06-23 17:44:14",364,"2019-06-30 22:04:39","2019-06-30 22:09:23",284,NA,NA,79.478,69.689,"blue","magenta",7,6,98,7,7,7,6,97,7,7,7,6,97,7,7,1,1,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,"Graduate degree",27,"18-29","Liberal"
